county_name,county_id,1a,1a1c,1a_2c,1a3c,2a1w,2a1w1c,2a1w2c,2a1w3c,2a,2a1c,2a2c,2a3c
"Autauga County, Alabama",01001,"$22,131","$41,736","$51,574","$66,398","$34,625","$40,397","$45,776","$50,668","$34,625","$46,245","$57,177","$67,622"
"Baldwin County, Alabama",01003,"$21,715","$43,358","$53,196","$69,767","$36,025","$42,019","$47,398","$54,037","$36,025","$47,867","$58,799","$70,991"
"Barbour County, Alabama",01005,"$20,218","$39,975","$49,813","$62,933","$32,324","$38,636","$44,015","$47,203","$32,324","$44,485","$55,416","$64,157"
"Bibb County, Alabama",01007,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Blount County, Alabama",01009,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Bullock County, Alabama",01011,"$20,578","$39,740","$49,578","$63,238","$32,962","$38,401","$43,780","$47,508","$32,962","$44,249","$55,181","$64,462"
"Butler County, Alabama",01013,"$20,218","$39,740","$49,578","$64,264","$32,324","$38,401","$43,780","$48,534","$32,324","$44,249","$55,181","$65,487"
"Calhoun County, Alabama",01015,"$21,133","$41,306","$51,144","$65,026","$33,502","$39,967","$45,346","$49,296","$33,502","$45,815","$56,747","$66,250"
"Chambers County, Alabama",01017,"$20,551","$40,433","$50,271","$63,501","$32,657","$39,094","$44,473","$47,771","$32,657","$44,942","$55,874","$64,725"
"Cherokee County, Alabama",01019,"$20,578","$39,740","$49,578","$64,430","$32,892","$38,401","$43,780","$48,700","$32,892","$44,249","$55,181","$65,654"
"Chilton County, Alabama",01021,"$19,816","$39,740","$49,578","$63,376","$32,574","$38,401","$43,780","$47,646","$32,574","$44,249","$55,181","$64,600"
"Choctaw County, Alabama",01023,"$21,327","$41,486","$51,324","$64,818","$33,433","$40,147","$45,526","$49,088","$33,433","$45,996","$56,927","$66,042"
"Clarke County, Alabama",01025,"$20,329","$39,740","$49,578","$63,820","$32,421","$38,401","$43,780","$48,090","$32,421","$44,249","$55,181","$65,044"
"Clay County, Alabama",01027,"$20,121","$39,740","$49,578","$63,390","$32,227","$38,401","$43,780","$47,660","$32,227","$44,249","$55,181","$64,614"
"Cleburne County, Alabama",01029,"$20,357","$40,169","$50,007","$63,182","$32,463","$38,830","$44,210","$47,452","$32,463","$44,679","$55,610","$64,406"
"Coffee County, Alabama",01031,"$20,703","$40,183","$50,021","$64,111","$32,809","$38,844","$44,223","$48,381","$32,809","$44,692","$55,624","$65,335"
"Colbert County, Alabama",01033,"$21,147","$40,710","$50,548","$64,638","$33,253","$39,371","$44,750","$48,908","$33,253","$45,219","$56,151","$65,862"
"Conecuh County, Alabama",01035,"$20,287","$39,740","$49,578","$64,430","$32,393","$38,401","$43,780","$48,700","$32,393","$44,249","$55,181","$65,654"
"Coosa County, Alabama",01037,"$20,578","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Covington County, Alabama",01039,"$20,315","$39,740","$49,578","$64,208","$32,407","$38,401","$43,780","$48,478","$32,407","$44,249","$55,181","$65,432"
"Crenshaw County, Alabama",01041,"$20,135","$39,864","$49,702","$64,111","$32,241","$38,525","$43,905","$48,381","$32,241","$44,374","$55,306","$65,335"
"Cullman County, Alabama",01043,"$20,703","$39,892","$49,730","$62,947","$32,892","$38,553","$43,932","$47,217","$32,892","$44,401","$55,333","$64,170"
"Dale County, Alabama",01045,"$19,511","$39,740","$49,578","$64,305","$32,490","$38,401","$43,780","$48,575","$32,490","$44,249","$55,181","$65,529"
"Dallas County, Alabama",01047,"$19,289","$39,740","$49,578","$62,905","$32,144","$38,401","$43,780","$47,175","$32,144","$44,249","$55,181","$64,129"
"DeKalb County, Alabama",01049,"$19,137","$40,059","$49,896","$63,071","$32,657","$38,720","$44,099","$47,341","$32,657","$44,568","$55,500","$64,295"
"Elmore County, Alabama",01051,"$22,131","$41,736","$51,574","$66,398","$34,625","$40,397","$45,776","$50,668","$34,625","$46,245","$57,177","$67,622"
"Escambia County, Alabama",01053,"$20,620","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Etowah County, Alabama",01055,"$19,206","$40,156","$49,994","$63,155","$32,698","$38,817","$44,196","$47,425","$32,698","$44,665","$55,597","$64,378"
"Fayette County, Alabama",01057,"$20,578","$39,740","$49,578","$63,169","$32,962","$38,401","$43,780","$47,439","$32,962","$44,249","$55,181","$64,392"
"Franklin County, Alabama",01059,"$20,121","$39,837","$49,675","$62,767","$32,227","$38,498","$43,877","$47,037","$32,227","$44,346","$55,278","$63,990"
"Geneva County, Alabama",01061,"$19,982","$39,740","$49,578","$63,335","$32,449","$38,401","$43,780","$47,605","$32,449","$44,249","$55,181","$64,559"
"Greene County, Alabama",01063,"$21,008","$43,191","$53,029","$67,050","$34,889","$41,852","$47,232","$51,320","$34,889","$47,701","$58,633","$68,274"
"Hale County, Alabama",01065,"$21,008","$43,191","$53,029","$67,050","$34,889","$41,852","$47,232","$51,320","$34,889","$47,701","$58,633","$68,274"
"Henry County, Alabama",01067,"$19,982","$39,740","$49,578","$64,430","$32,449","$38,401","$43,780","$48,700","$32,449","$44,249","$55,181","$65,654"
"Houston County, Alabama",01069,"$19,982","$39,740","$49,578","$63,335","$32,449","$38,401","$43,780","$47,605","$32,449","$44,249","$55,181","$64,559"
"Jackson County, Alabama",01071,"$20,578","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Jefferson County, Alabama",01073,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Lamar County, Alabama",01075,"$20,578","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Lauderdale County, Alabama",01077,"$21,147","$40,710","$50,548","$64,638","$33,253","$39,371","$44,750","$48,908","$33,253","$45,219","$56,151","$65,862"
"Lawrence County, Alabama",01079,"$20,038","$40,142","$49,980","$64,305","$33,308","$38,803","$44,182","$48,575","$33,308","$44,651","$55,583","$65,529"
"Lee County, Alabama",01081,"$21,660","$41,930","$51,768","$66,690","$33,766","$40,591","$45,970","$50,960","$33,766","$46,439","$57,371","$67,913"
"Limestone County, Alabama",01083,"$21,202","$41,445","$51,283","$66,010","$34,098","$40,106","$45,485","$50,280","$34,098","$45,954","$56,886","$67,234"
"Lowndes County, Alabama",01085,"$22,131","$41,736","$51,574","$66,398","$34,625","$40,397","$45,776","$50,668","$34,625","$46,245","$57,177","$67,622"
"Macon County, Alabama",01087,"$20,052","$39,740","$49,578","$62,642","$32,144","$38,401","$43,780","$46,912","$32,144","$44,249","$55,181","$63,866"
"Madison County, Alabama",01089,"$21,202","$41,445","$51,283","$66,010","$34,098","$40,106","$45,485","$50,280","$34,098","$45,954","$56,886","$67,234"
"Marengo County, Alabama",01091,"$20,495","$39,740","$49,578","$63,307","$32,601","$38,401","$43,780","$47,577","$32,601","$44,249","$55,181","$64,531"
"Marion County, Alabama",01093,"$20,578","$39,740","$49,578","$64,250","$32,782","$38,401","$43,780","$48,520","$32,782","$44,249","$55,181","$65,474"
"Marshall County, Alabama",01095,"$20,163","$39,767","$49,605","$63,723","$32,269","$38,428","$43,808","$47,993","$32,269","$44,277","$55,208","$64,947"
"Mobile County, Alabama",01097,"$22,907","$42,568","$52,406","$67,175","$35,346","$41,229","$46,608","$51,445","$35,346","$47,077","$58,009","$68,399"
"Monroe County, Alabama",01099,"$20,578","$39,740","$49,578","$64,430","$32,962","$38,401","$43,780","$48,700","$32,962","$44,249","$55,181","$65,654"
"Montgomery County, Alabama",01101,"$22,131","$41,736","$51,574","$66,398","$34,625","$40,397","$45,776","$50,668","$34,625","$46,245","$57,177","$67,622"
"Morgan County, Alabama",01103,"$20,038","$40,142","$49,980","$64,305","$33,308","$38,803","$44,182","$48,575","$33,308","$44,651","$55,583","$65,529"
"Perry County, Alabama",01105,"$20,287","$39,740","$49,578","$64,319","$32,393","$38,401","$43,780","$48,589","$32,393","$44,249","$55,181","$65,543"
"Pickens County, Alabama",01107,"$20,052","$39,740","$49,578","$62,642","$32,144","$38,401","$43,780","$46,912","$32,144","$44,249","$55,181","$63,866"
"Pike County, Alabama",01109,"$20,620","$39,740","$49,578","$64,388","$32,962","$38,401","$43,780","$48,658","$32,962","$44,249","$55,181","$65,612"
"Randolph County, Alabama",01111,"$20,953","$40,377","$50,215","$63,432","$33,059","$39,038","$44,417","$47,702","$33,059","$44,887","$55,818","$64,656"
"Russell County, Alabama",01113,"$21,327","$41,667","$51,505","$66,329","$34,598","$40,328","$45,707","$50,599","$34,598","$46,176","$57,108","$67,553"
"St. Clair County, Alabama",01115,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Shelby County, Alabama",01117,"$21,549","$42,193","$52,031","$66,398","$35,041","$40,854","$46,233","$50,668","$35,041","$46,703","$57,634","$67,622"
"Sumter County, Alabama",01119,"$20,578","$39,740","$49,578","$62,642","$32,962","$38,401","$43,780","$46,912","$32,962","$44,249","$55,181","$63,866"
"Talladega County, Alabama",01121,"$20,052","$39,740","$49,578","$63,584","$32,144","$38,401","$43,780","$47,854","$32,144","$44,249","$55,181","$64,808"
"Tallapoosa County, Alabama",01123,"$20,537","$39,837","$49,675","$63,695","$32,643","$38,498","$43,877","$47,965","$32,643","$44,346","$55,278","$64,919"
"Tuscaloosa County, Alabama",01125,"$21,008","$43,191","$53,029","$67,050","$34,889","$41,852","$47,232","$51,320","$34,889","$47,701","$58,633","$68,274"
"Walker County, Alabama",01127,"$20,620","$39,740","$49,578","$63,709","$32,823","$38,401","$43,780","$47,979","$32,823","$44,249","$55,181","$64,933"
"Washington County, Alabama",01129,"$20,578","$39,740","$49,578","$64,430","$32,962","$38,401","$43,780","$48,700","$32,962","$44,249","$55,181","$65,654"
"Wilcox County, Alabama",01131,"$20,052","$39,740","$49,578","$62,642","$32,144","$38,401","$43,780","$46,912","$32,144","$44,249","$55,181","$63,866"
"Winston County, Alabama",01133,"$20,578","$39,740","$49,578","$63,612","$32,962","$38,401","$43,780","$47,882","$32,962","$44,249","$55,181","$64,836"
"Aleutians East Borough, Alaska",02013,"$20,268","$44,401","$54,760","$68,650","$33,491","$40,191","$45,572","$49,568","$33,491","$49,088","$60,399","$70,326"
"Aleutians West Census Area, Alaska",02016,"$24,845","$54,077","$64,436","$80,695","$39,647","$49,867","$55,248","$61,612","$39,647","$58,763","$70,075","$82,370"
"Anchorage Municipality, Alaska",02020,"$23,774","$50,196","$60,555","$79,370","$37,426","$45,986","$51,367","$60,287","$37,426","$54,882","$66,194","$81,045"
"Bethel Census Area, Alaska",02050,"$23,654","$50,704","$61,063","$76,506","$37,158","$46,495","$51,875","$57,423","$37,158","$55,391","$66,702","$78,181"
"Bristol Bay Borough, Alaska",02060,"$23,119","$48,376","$58,735","$74,940","$35,445","$44,166","$49,547","$55,858","$35,445","$53,062","$64,374","$76,615"
"Denali Borough, Alaska",02068,"$19,532","$43,384","$53,743","$69,333","$32,635","$39,174","$44,555","$50,250","$32,635","$48,071","$59,382","$71,008"
"Dillingham Census Area, Alaska",02070,"$23,333","$48,670","$59,029","$73,963","$37,091","$44,460","$49,841","$54,881","$37,091","$53,357","$64,668","$75,639"
"Fairbanks North Star Borough, Alaska",02090,"$23,975","$52,605","$62,964","$82,916","$38,563","$48,395","$53,776","$63,834","$38,563","$57,291","$68,603","$84,591"
"Haines Borough, Alaska",02100,"$21,272","$45,806","$56,165","$72,893","$34,321","$41,597","$46,977","$53,810","$34,321","$50,493","$61,804","$74,568"
"Hoonah-Angoon Census Area, Alaska",02105,"$20,415","$44,615","$54,974","$68,918","$32,661","$40,406","$45,786","$49,836","$32,661","$49,302","$60,613","$70,593"
"Juneau City and Borough, Alaska",02110,"$23,346","$51,159","$61,518","$78,098","$37,492","$46,950","$52,330","$59,016","$37,492","$55,846","$67,157","$79,774"
"Kenai Peninsula Borough, Alaska",02122,"$21,740","$45,914","$56,273","$70,618","$34,281","$41,704","$47,084","$51,535","$34,281","$50,600","$61,911","$72,293"
"Ketchikan Gateway Borough, Alaska",02130,"$21,098","$47,774","$58,133","$75,797","$35,365","$43,564","$48,945","$56,714","$35,365","$52,460","$63,772","$77,472"
"Kodiak Island Borough, Alaska",02150,"$22,704","$48,550","$58,909","$76,934","$36,395","$44,340","$49,721","$57,852","$36,395","$53,236","$64,548","$78,609"
"Lake and Peninsula Borough, Alaska",02164,"$20,242","$44,361","$54,720","$69,534","$33,464","$40,151","$45,532","$50,451","$33,464","$49,048","$60,359","$71,209"
"Matanuska-Susitna Borough, Alaska",02170,"$22,864","$49,326","$59,685","$78,085","$36,382","$45,116","$50,497","$59,003","$36,382","$54,012","$65,324","$79,760"
"Nome Census Area, Alaska",02180,"$24,243","$53,060","$63,419","$79,437","$38,898","$48,850","$54,231","$60,354","$38,898","$57,746","$69,058","$81,112"
"North Slope Borough, Alaska",02185,"$21,807","$47,386","$57,745","$72,371","$36,007","$43,176","$48,557","$53,288","$36,007","$52,072","$63,384","$74,046"
"Northwest Arctic Borough, Alaska",02188,"$25,755","$50,129","$60,488","$75,783","$38,322","$45,919","$51,300","$56,701","$38,322","$54,815","$66,127","$77,459"
"Petersburg Census Area, Alaska",02195,"$21,379","$45,940","$56,299","$70,564","$33,638","$41,730","$47,111","$51,482","$33,638","$50,627","$61,938","$72,239"
"Prince of Wales-Hyder Census Area, Alaska",02198,"$20,536","$44,562","$54,921","$68,851","$32,621","$40,352","$45,733","$49,769","$32,621","$49,248","$60,560","$70,526"
"Sitka City and Borough, Alaska",02220,"$23,989","$50,035","$60,394","$77,911","$36,663","$45,825","$51,206","$58,829","$36,663","$54,722","$66,033","$79,586"
"Skagway Municipality, Alaska",02230,"$24,176","$49,835","$60,194","$75,422","$38,081","$45,625","$51,005","$56,339","$38,081","$54,521","$65,832","$77,097"
"Southeast Fairbanks Census Area, Alaska",02240,"$21,325","$47,252","$57,611","$72,197","$34,803","$43,042","$48,423","$53,114","$34,803","$51,938","$63,250","$73,872"
"Valdez-Cordova Census Area, Alaska",02261,"$22,102","$46,342","$56,701","$72,933","$34,642","$42,132","$47,513","$53,850","$34,642","$51,028","$62,340","$74,608"
"Wade Hampton Census Area, Alaska",02270,"$20,389","$44,575","$54,934","$68,865","$33,638","$40,365","$45,746","$49,782","$33,638","$49,262","$60,573","$70,540"
"Wrangell City and Borough, Alaska",02275,"$21,138","$45,619","$55,978","$72,625","$33,839","$41,409","$46,790","$53,543","$33,839","$50,305","$61,617","$74,300"
"Yakutat City and Borough, Alaska",02282,"$20,282","$44,428","$54,787","$70,872","$32,916","$40,218","$45,599","$51,789","$32,916","$49,114","$60,426","$72,547"
"Yukon-Koyukuk Census Area, Alaska",02290,"$21,098","$44,361","$54,720","$68,597","$33,331","$40,151","$45,532","$49,514","$33,331","$49,048","$60,359","$70,272"
"Apache County, Arizona",04001,"$19,048","$42,826","$54,564","$69,718","$32,761","$40,204","$45,723","$49,616","$32,761","$47,633","$60,348","$71,437"
"Cochise County, Arizona",04003,"$22,563","$45,448","$57,186","$75,196","$35,383","$42,826","$48,345","$55,094","$35,383","$50,255","$62,970","$76,914"
"Coconino County, Arizona",04005,"$23,400","$48,097","$59,835","$76,568","$37,497","$45,475","$50,995","$56,467","$37,497","$52,905","$65,620","$78,287"
"Gila County, Arizona",04007,"$20,833","$44,006","$55,744","$73,109","$33,667","$41,384","$46,904","$53,007","$33,667","$48,814","$61,529","$74,828"
"Graham County, Arizona",04009,"$19,035","$42,949","$54,687","$71,846","$33,736","$40,327","$45,847","$51,744","$33,736","$47,757","$60,472","$73,565"
"Greenlee County, Arizona",04011,"$19,995","$42,826","$54,564","$69,663","$32,761","$40,204","$45,723","$49,561","$32,761","$47,633","$60,348","$71,382"
"La Paz County, Arizona",04012,"$20,256","$43,183","$54,921","$70,116","$33,022","$40,561","$46,080","$50,014","$33,022","$47,990","$60,705","$71,835"
"Maricopa County, Arizona",04013,"$22,192","$47,219","$58,957","$78,133","$36,920","$44,597","$50,116","$58,032","$36,920","$52,026","$64,741","$79,852"
"Mohave County, Arizona",04015,"$20,284","$44,363","$56,101","$72,711","$34,353","$41,741","$47,261","$52,609","$34,353","$49,171","$61,886","$74,429"
"Navajo County, Arizona",04017,"$20,421","$43,155","$54,893","$71,571","$33,008","$40,533","$46,053","$51,470","$33,008","$47,963","$60,678","$73,290"
"Pima County, Arizona",04019,"$20,723","$45,777","$57,515","$75,951","$34,985","$43,155","$48,675","$55,849","$34,985","$50,585","$63,300","$77,669"
"Pinal County, Arizona",04021,"$22,192","$47,219","$58,957","$78,133","$36,920","$44,597","$50,116","$58,032","$36,920","$52,026","$64,741","$79,852"
"Santa Cruz County, Arizona",04023,"$20,270","$43,210","$54,948","$70,295","$33,653","$40,588","$46,108","$50,193","$33,653","$48,017","$60,733","$72,013"
"Yavapai County, Arizona",04025,"$21,258","$44,844","$56,582","$74,633","$34,806","$42,222","$47,741","$54,531","$34,806","$49,651","$62,366","$76,351"
"Yuma County, Arizona",04027,"$21,670","$45,228","$56,966","$75,209","$34,738","$42,606","$48,126","$55,108","$34,738","$50,035","$62,751","$76,928"
"Arkansas County, Arkansas",05001,"$19,449","$39,221","$50,272","$64,562","$31,554","$38,308","$43,617","$46,763","$31,554","$43,672","$55,803","$65,770"
"Ashley County, Arkansas",05003,"$19,243","$38,934","$49,985","$65,041","$31,348","$38,020","$43,329","$47,242","$31,348","$43,384","$55,515","$66,249"
"Baxter County, Arkansas",05005,"$19,626","$39,413","$50,464","$66,601","$31,786","$38,499","$43,808","$48,802","$31,786","$43,863","$55,994","$67,809"
"Benton County, Arkansas",05007,"$19,982","$40,630","$51,682","$68,448","$32,963","$39,717","$45,026","$50,649","$32,963","$45,081","$57,212","$69,656"
"Boone County, Arkansas",05009,"$19,243","$38,934","$49,985","$65,370","$31,348","$38,020","$43,329","$47,570","$31,348","$43,384","$55,515","$66,578"
"Bradley County, Arkansas",05011,"$19,011","$38,934","$49,985","$65,780","$31,348","$38,020","$43,329","$47,981","$31,348","$43,384","$55,515","$66,988"
"Calhoun County, Arkansas",05013,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Carroll County, Arkansas",05015,"$20,119","$39,946","$50,997","$65,972","$32,224","$39,033","$44,342","$48,172","$32,224","$44,397","$56,528","$67,180"
"Chicot County, Arkansas",05017,"$19,271","$38,934","$49,985","$65,958","$31,376","$38,020","$43,329","$48,158","$31,376","$43,384","$55,515","$67,166"
"Clark County, Arkansas",05019,"$19,449","$39,016","$50,067","$64,932","$31,554","$38,102","$43,412","$47,132","$31,554","$43,466","$55,597","$66,140"
"Clay County, Arkansas",05021,"$19,243","$38,934","$49,985","$64,604","$31,348","$38,020","$43,329","$46,804","$31,348","$43,384","$55,515","$65,811"
"Cleburne County, Arkansas",05023,"$19,791","$39,235","$50,286","$65,123","$31,896","$38,321","$43,631","$47,324","$31,896","$43,685","$55,816","$66,331"
"Cleveland County, Arkansas",05025,"$19,298","$40,165","$51,216","$65,794","$32,361","$39,252","$44,561","$47,994","$32,361","$44,616","$56,747","$67,002"
"Columbia County, Arkansas",05027,"$19,243","$38,934","$49,985","$65,452","$31,348","$38,020","$43,329","$47,652","$31,348","$43,384","$55,515","$66,660"
"Conway County, Arkansas",05029,"$19,832","$39,741","$50,792","$65,206","$31,937","$38,828","$44,137","$47,406","$31,937","$44,192","$56,323","$66,413"
"Craighead County, Arkansas",05031,"$18,710","$39,659","$50,710","$66,451","$32,470","$38,745","$44,055","$48,651","$32,470","$44,110","$56,240","$67,659"
"Crawford County, Arkansas",05033,"$19,832","$39,467","$50,519","$65,575","$31,937","$38,554","$43,863","$47,775","$31,937","$43,918","$56,049","$66,783"
"Crittenden County, Arkansas",05035,"$21,487","$41,930","$52,981","$69,228","$34,673","$41,017","$46,326","$51,429","$34,673","$46,381","$58,512","$70,436"
"Cross County, Arkansas",05037,"$19,886","$39,426","$50,478","$65,876","$31,992","$38,513","$43,822","$48,076","$31,992","$43,877","$56,008","$67,084"
"Dallas County, Arkansas",05039,"$19,585","$38,934","$49,985","$65,958","$32,142","$38,020","$43,329","$48,158","$32,142","$43,384","$55,515","$67,166"
"Desha County, Arkansas",05041,"$19,243","$38,934","$49,985","$65,178","$31,348","$38,020","$43,329","$47,379","$31,348","$43,384","$55,515","$66,386"
"Drew County, Arkansas",05043,"$19,243","$38,934","$49,985","$65,684","$31,348","$38,020","$43,329","$47,885","$31,348","$43,384","$55,515","$66,892"
"Faulkner County, Arkansas",05045,"$20,885","$41,369","$52,420","$68,777","$34,085","$40,456","$45,765","$50,977","$34,085","$45,820","$57,951","$69,985"
"Franklin County, Arkansas",05047,"$19,243","$38,934","$49,985","$64,535","$31,348","$38,020","$43,329","$46,735","$31,348","$43,384","$55,515","$65,743"
"Fulton County, Arkansas",05049,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Garland County, Arkansas",05051,"$20,009","$42,026","$53,077","$68,968","$33,633","$41,112","$46,422","$51,169","$33,633","$46,477","$58,608","$70,176"
"Grant County, Arkansas",05053,"$19,134","$38,934","$49,985","$65,958","$32,142","$38,020","$43,329","$48,158","$32,142","$43,384","$55,515","$67,166"
"Greene County, Arkansas",05055,"$18,888","$39,686","$50,737","$66,341","$31,937","$38,773","$44,082","$48,542","$31,937","$44,137","$56,268","$67,549"
"Hempstead County, Arkansas",05057,"$19,585","$38,934","$49,985","$64,207","$31,950","$38,020","$43,329","$46,407","$31,950","$43,384","$55,515","$65,415"
"Hot Spring County, Arkansas",05059,"$19,585","$38,934","$49,985","$64,877","$32,142","$38,020","$43,329","$47,078","$32,142","$43,384","$55,515","$66,085"
"Howard County, Arkansas",05061,"$18,723","$38,934","$49,985","$64,727","$31,348","$38,020","$43,329","$46,927","$31,348","$43,384","$55,515","$65,935"
"Independence County, Arkansas",05063,"$19,325","$39,043","$50,094","$64,508","$31,431","$38,130","$43,439","$46,708","$31,431","$43,494","$55,625","$65,716"
"Izard County, Arkansas",05065,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Jackson County, Arkansas",05067,"$19,243","$38,934","$49,985","$65,958","$31,348","$38,020","$43,329","$48,158","$31,348","$43,384","$55,515","$67,166"
"Jefferson County, Arkansas",05069,"$19,298","$40,165","$51,216","$65,794","$32,361","$39,252","$44,561","$47,994","$32,361","$44,616","$56,747","$67,002"
"Johnson County, Arkansas",05071,"$19,476","$39,194","$50,245","$64,521","$31,581","$38,280","$43,589","$46,722","$31,581","$43,644","$55,775","$65,729"
"Lafayette County, Arkansas",05073,"$19,243","$38,934","$49,985","$65,958","$31,348","$38,020","$43,329","$48,158","$31,348","$43,384","$55,515","$67,166"
"Lawrence County, Arkansas",05075,"$19,243","$38,934","$49,985","$64,850","$31,348","$38,020","$43,329","$47,050","$31,348","$43,384","$55,515","$66,058"
"Lee County, Arkansas",05077,"$19,585","$38,934","$49,985","$64,480","$32,142","$38,020","$43,329","$46,681","$32,142","$43,384","$55,515","$65,688"
"Lincoln County, Arkansas",05079,"$19,298","$40,165","$51,216","$65,794","$32,361","$39,252","$44,561","$47,994","$32,361","$44,616","$56,747","$67,002"
"Little River County, Arkansas",05081,"$19,681","$39,727","$50,779","$65,192","$31,937","$38,814","$44,123","$47,392","$31,937","$44,178","$56,309","$66,400"
"Logan County, Arkansas",05083,"$18,176","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Lonoke County, Arkansas",05085,"$20,885","$41,369","$52,420","$68,777","$34,085","$40,456","$45,765","$50,977","$34,085","$45,820","$57,951","$69,985"
"Madison County, Arkansas",05087,"$19,982","$40,630","$51,682","$68,448","$32,963","$39,717","$45,026","$50,649","$32,963","$45,081","$57,212","$69,656"
"Marion County, Arkansas",05089,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Miller County, Arkansas",05091,"$19,640","$40,890","$51,942","$66,642","$33,510","$39,977","$45,286","$48,843","$33,510","$45,341","$57,472","$67,850"
"Mississippi County, Arkansas",05093,"$18,409","$38,947","$49,999","$64,864","$31,348","$38,034","$43,343","$47,064","$31,348","$43,398","$55,529","$66,071"
"Monroe County, Arkansas",05095,"$19,243","$38,934","$49,985","$65,069","$31,348","$38,020","$43,329","$47,269","$31,348","$43,384","$55,515","$66,277"
"Montgomery County, Arkansas",05097,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Nevada County, Arkansas",05099,"$19,243","$38,934","$49,985","$64,549","$31,348","$38,020","$43,329","$46,749","$31,348","$43,384","$55,515","$65,757"
"Newton County, Arkansas",05101,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Ouachita County, Arkansas",05103,"$19,517","$38,934","$49,985","$64,521","$31,622","$38,020","$43,329","$46,722","$31,622","$43,384","$55,515","$65,729"
"Perry County, Arkansas",05105,"$20,885","$41,369","$52,420","$68,777","$34,085","$40,456","$45,765","$50,977","$34,085","$45,820","$57,951","$69,985"
"Phillips County, Arkansas",05107,"$19,243","$38,934","$49,985","$65,958","$31,348","$38,020","$43,329","$48,158","$31,348","$43,384","$55,515","$67,166"
"Pike County, Arkansas",05109,"$19,435","$38,934","$49,985","$64,207","$31,540","$38,020","$43,329","$46,407","$31,540","$43,384","$55,515","$65,415"
"Poinsett County, Arkansas",05111,"$18,422","$38,934","$49,985","$65,890","$31,540","$38,020","$43,329","$48,090","$31,540","$43,384","$55,515","$67,098"
"Polk County, Arkansas",05113,"$19,503","$38,934","$49,985","$64,918","$31,595","$38,020","$43,329","$47,119","$31,595","$43,384","$55,515","$66,126"
"Pope County, Arkansas",05115,"$19,585","$39,317","$50,368","$65,643","$31,691","$38,403","$43,713","$47,844","$31,691","$43,767","$55,898","$66,851"
"Prairie County, Arkansas",05117,"$19,585","$38,934","$49,985","$65,958","$32,142","$38,020","$43,329","$48,158","$32,142","$43,384","$55,515","$67,166"
"Pulaski County, Arkansas",05119,"$20,885","$41,369","$52,420","$68,777","$34,085","$40,456","$45,765","$50,977","$34,085","$45,820","$57,951","$69,985"
"Randolph County, Arkansas",05121,"$19,243","$38,934","$49,985","$64,439","$31,348","$38,020","$43,329","$46,640","$31,348","$43,384","$55,515","$65,647"
"St. Francis County, Arkansas",05123,"$19,804","$38,934","$49,985","$65,329","$32,142","$38,020","$43,329","$47,529","$32,142","$43,384","$55,515","$66,537"
"Saline County, Arkansas",05125,"$20,885","$41,369","$52,420","$68,777","$34,085","$40,456","$45,765","$50,977","$34,085","$45,820","$57,951","$69,985"
"Scott County, Arkansas",05127,"$19,257","$38,947","$49,999","$64,220","$31,348","$38,034","$43,343","$46,421","$31,348","$43,398","$55,529","$65,428"
"Searcy County, Arkansas",05129,"$19,243","$38,934","$49,985","$64,207","$31,348","$38,020","$43,329","$46,407","$31,348","$43,384","$55,515","$65,415"
"Sebastian County, Arkansas",05131,"$19,832","$39,467","$50,519","$65,575","$31,937","$38,554","$43,863","$47,775","$31,937","$43,918","$56,049","$66,783"
